'id_event','match_event','time','player','team','type_e'
668,265,41,90,7,'goal'
669,265,56,90,7,'goal'
670,267,17,178,18,'goal'
671,267,47,149,18,'penalty'
672,267,64,87,16,'goal'
673,268,11,160,12,'goal'
674,268,68,278,6,'goal'
675,268,80,81,12,'own'
676,269,57,46,8,'goal'
677,269,62,45,8,'goal'
678,269,70,97,8,'goal'
679,269,80,46,8,'goal'
680,270,47,38,11,'goal'
681,270,75,410,11,'goal'
682,270,93,69,4,'goal'
683,271,50,168,9,'goal'
684,271,61,179,9,'penalty'
685,271,64,366,12,'goal'
686,272,61,26,15,'goal'
687,272,64,338,15,'goal'
688,272,70,143,1,'goal'
689,272,87,411,15,'goal'
690,273,49,46,8,'goal'
691,273,91,342,18,'goal'
692,274,23,30,5,'goal'
693,274,71,384,5,'goal'
694,275,19,17,2,'goal'
695,275,41,110,17,'goal'
696,275,75,17,2,'goal'
697,275,85,17,2,'goal'
698,275,86,345,17,'goal'
699,275,88,51,2,'own'
700,276,18,37,7,'goal'
701,276,83,180,3,'goal'
702,277,12,54,19,'goal'
703,277,47,202,19,'goal'
704,277,49,136,19,'goal'
705,277,52,159,19,'goal'
706,277,56,54,19,'goal'
707,277,76,317,19,'goal'
708,278,75,233,14,'goal'
709,279,63,34,10,'goal'
710,279,73,64,10,'goal'
711,279,77,36,10,'goal'
712,280,76,233,14,'goal'
713,280,92,233,14,'goal'
714,281,30,248,16,'goal'
715,281,82,31,10,'goal'
716,282,59,54,19,'goal'
717,282,66,211,1,'goal'
718,283,9,56,0,'goal'
719,283,20,193,17,'goal'
720,283,37,110,17,'goal'
721,283,63,49,17,'penalty'
722,283,77,58,0,'goal'
723,285,13,163,5,'goal'
724,285,20,105,9,'goal'
725,285,27,400,5,'own'
726,285,34,291,5,'goal'
727,285,55,205,5,'goal'
728,286,11,37,7,'goal'
729,286,56,90,7,'penalty'
730,287,31,120,6,'own'
731,287,49,353,4,'goal'
732,288,14,171,11,'goal'
733,288,81,0,13,'goal'
734,289,50,99,8,'goal'
735,289,73,289,3,'goal'
736,289,81,180,3,'goal'
737,289,83,46,8,'goal'
738,289,86,222,3,'goal'
739,290,24,69,4,'goal'
740,291,17,76,11,'goal'
741,291,40,257,11,'goal'
742,291,75,349,10,'goal'
743,291,76,38,11,'goal'
744,291,81,101,10,'goal'
745,292,5,46,8,'miss'
746,293,14,143,1,'goal'
747,293,41,104,1,'own'
748,293,56,179,9,'penalty'
749,293,60,316,1,'goal'
750,293,69,167,9,'goal'
751,293,72,143,1,'goal'
752,294,56,387,2,'goal'
753,295,68,107,6,'goal'
754,296,11,223,3,'goal'
755,296,40,128,3,'goal'
756,296,49,110,17,'goal'
757,297,50,317,19,'goal'
758,297,54,54,19,'goal'
759,297,78,54,19,'goal'
760,297,91,136,19,'goal'
761,299,38,205,5,'goal'
762,299,83,160,12,'goal'
763,299,84,326,5,'goal'
764,299,86,275,5,'goal'
765,299,92,366,12,'goal'
766,300,12,418,1,'goal'
767,300,21,316,1,'goal'
768,300,48,316,1,'goal'
769,301,5,248,16,'goal'
770,301,46,22,16,'penalty'
771,301,78,226,6,'goal'
772,302,13,136,19,'goal'
773,302,49,136,19,'goal'
774,302,58,136,19,'goal'
775,302,92,54,19,'goal'
776,304,58,134,5,'goal'
777,304,70,133,5,'goal'
778,305,86,37,7,'goal'
779,305,89,37,7,'goal'
780,306,56,69,4,'goal'
781,307,3,223,3,'goal'
782,307,8,180,3,'goal'
